word,subject,interpretation,example_portuguese_sentence,example_libras_sentence,grammar_class,word_origin,video_link,image_link,hand_image_link
P,NENHUM,Sinal gráfico elementar com que se representam os vocábulos na língua escrita; letra do alfabeto da língua portuguesa.,O nome de meu irmão começa com a letra P.,NOME ME@ IRMÃ@ COMEÇAR LETRA P.,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/pSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/pSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg11.jpg
PÁ,APARELHO/MÁQUINA,"Utensílio de ferro, alumínio ou outro material, provido de cabo, usado na escavação e remoção de terra ou areia em obras, atividades agrícolas e similares.",O pedreiro sempre usa pá para trabalhar.,HOMEM^OBRA TRABALHAR SEMPRE PÁ.,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/paSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/paSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg01.jpg
PACIÊNCIA,SENTIMENTOS,Virtude de quem suporta ofensas e infortúnios com resignação; característica de quem espera com calma.,É importante ter paciência para se viver bem.,PACIÊNCIA IMPORTANTE FUTURO VIDA BEM.,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/pacienciaSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/pacienciaSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg24.jpg
PACOTE,NENHUM,"Volume, geralmente envolto em papel; embrulho.","Recebi um pacote de encomenda da VARIG, hoje pela manhã.",PACOTE V-A-R-I-G RECEBER HOJE EU MANHÃ.,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/pacoteSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/pacoteSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg63.jpg
PADARIA,NENHUM,"Estabelecimento que fabrica e vende pães, biscoitos e outros gêneros alimentícios.",Todos os dias pela manhã ela vai à padaria comprar pão e leite.,TOD@-DIA MANHÃ EL@ IRCcontinuativo PADARIA COMPRAR PÃO LEITE.,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/padariaSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/padariaSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg05.jpg
PADEIRO,PROFISSÃO/TRABALHO,Fabricante ou vendedor de pão; entregador de pão.,Todos os dias o padeiro acorda às três horas para fazer pão.,HOMEM PADARIA TOD@-DIA ACORDAR HORA 3 PÃO FAZER.,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/padeiroSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/padeiroSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg05.jpg
PADRÃO1,NENHUM,Modelo; o que deve ser copiado ou seguido.,Ele é meu padrão.,EL@ PADRÃO ME@.,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/padrao1Sm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/padrao1Sm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg25.jpg
PADRÃO2,NENHUM,O que serve de modelo ou de roteiro para uma avaliação.,A língua Portuguesa é a língua padrão no Brasil.,LÍNGUA PORTUGUES@ PADRÃO BRASIL.,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/padrao2Sm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/padrao2Sm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg61.jpg
PADRASTO,FAMÍLIA,Aquele que ocupa o lugar de pai em relação aos filhos que sua mulher teve de um casamento anterior.,Domingo passado meu padrasto e eu fomos passear.,DOMINGO PASSAD@ PAI^SEGUND@ ME@ JUNTO PASSEAR.,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/padrastoSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/padrastoSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg01.jpg
PADRE,PROFISSÃO/TRABALHO,Homem que recebeu ordenação de sacerdote; reverendo.,Foi a primeira vez em que o padre faltou à missa!,PRIMEIRA-VEZ PADRE FALTAR ONTEM MISSA!,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/padreSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/padreSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg24.jpg
PADRONIZAR,NENHUM,Seguir um padrão; dar uma forma ou tratamento comum.,O MEC quer padronizar o ensino de português no Brasil.,ENSINO PORTUGUÊS M-E-C QUERER PADRONIZAR BRASIL.,VERBO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/padronizarSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/padronizarSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg61.jpg
PAGAMENTO1,NUMERAL/DINHEIRO,O que é dado ou recebido em troca de um serviço; remuneração; salário.,Ainda não recebi o meu pagamento este mês.,MÊS EST@ PAGAMENTO RECEBER NÃO.,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/pagamento1Sm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/pagamento1Sm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg44.jpg
PAGAMENTO2,NUMERAL/DINHEIRO,Retribuição por um trabalho realizado; salário mensal.,Este mês não recebí o pagamento.,MÊS EST@ DINHEIRO PAGAMENTO RECEBER NÃO.,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/pagamento2Sm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/pagamento2Sm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg20.jpg
PAGAR1,NENHUM,Saldar uma dívida; cumprir um encargo.,"Fomos comer no restaurante e, como ele estava sem dinheiro, eu paguei a conta.",COMER RESTAURANTE EL@ DINHEIRO DUR@ EU PAGAR.,VERBO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/pagar1Sm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/pagar1Sm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg01.jpg
PAGAR2,NENHUM,Efetuar o pagamento mediante a aquisição de um bem.,Comprei um carro e paguei à vista.,EU COMPRAR CARRO PAGAR-À-VISTA.,VERBO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/pagar2Sm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/pagar2Sm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg05.jpg
PÁGINA1,NENHUM,"Cada um dos lados da folha do livro, jornal, revista ou outras publicações.","Terminei de escrever a história de minha vida, são 110 páginas.",EU ESTÓRIA ESCREVER VIDA ME@ TERMINAR NÚMERO^LIVRO 110.,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/paginaSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/paginaSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg02.jpg
PAGODE,ESPORTE/DIVERSÃO,"Reunião musical onde se toca, canta ou dança um estilo de samba.",Todos os sábados à noite ela dança pagode com seus amigos.,TOD@ SÁBADO NOITE EL@ DANÇAR PACODE JUNTO AMIG@ DEL@.,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/pagodeSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/pagodeSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg64.jpg
PAI1,FAMÍLIA,"Homem que tem filho(s); genitor, progenitor.",A família do meu pai mora no interior de Goiás.,FAMÍLIA P-A-I ME@ MORAR INTERIOR GOIÁS.,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/pai1Sm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/pai1Sm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg39.jpg
PAI2,FAMÍLIA,"Homem que tem filho(s); genitor, progenitor.","Meu pai é advogado, trabalha na cidade.",PAI ME@ ADVOGAD@ TRABALHAR CIDADE.,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/pai2Sm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/pai2Sm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg02.jpg
PAINEL,NENHUM,"Grande pintura sobre tela, madeira, muros ou paredes.",Todos os dias eu passo na rua e vejo o painel com a pintura.,TOD@-DIA R-U-A EU pessoaPASSAR 1s VER 3s PAINEL PINTURA.,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/painelSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/painelSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg14.jpg
